Nome;Preço;Descrição;Estoque;URL_Imagem
Celular Novo;2520,9;Smartphone novo, 128GB, câmera 48MP, bateria 4500mAh, garantia de 12 meses.;23;https://png.pngtree.com/png-vector/20250630/ourmid/pngtree-a-3d-mobile-phone-icon-png-image_16588916.webp
Celular Quebrado;393,99;"Display trincado e partes soltas; funcionamento parcial — ideal para peças ou conserto.";24;https://png.pngtree.com/png-vector/20230131/ourmid/pngtree-broken-phone-screen-design-png-image_6577848.png
Celular Velho;682,9;"Modelo antigo, 2GB, sinais de uso e bateria com desgaste; serve para ligações e apps leves.";29;https://www.publicdomainpictures.net/pictures/40000/nahled/old-mobile-phone-136583737501R.jpg
Fone pouco usado;151,9;"Fone pouco uso, cabo e ponteiras em bom estado; som equilibrado.";46;https://thumbs.dreamstime.com/b/fones-de-ouvido-quebrado-velho-isolado-86922222.jpg
Fone de marca;896,9;Fone de marca conhecida, Bluetooth e cancelamento de ruído.;31;https://thumbs.dreamstime.com/b/fones-de-ouvido-quebrado-velho-isolado-86922222.jpg
Baldur's Gate 3 PS5;323,99;"Edição física para PS5, lacrado; RPG aclamado com conteúdo principal incluso.";41;https://bg3.wiki/w/images/8/89/Baldur%27s_Gate_3_Cover_Art.webp?version=5e7ce878d656c28c9047582a956f2b14
Clair Obscur: Expedition 33 PC;100,9;Chave digital para PC — aventura indie com mapas extras e suporte para mods.;30;https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Clair_Obscur%2C_Expedition_33_Cover_1.webp/272px-Clair_Obscur%2C_Expedition_33_Cover_1.webp.png
Elden Ring- Key para Steam;198,9;Chave Steam para Elden Ring — acesso ao jogo completo e atualizações oficiais.;19;https://http2.mlstatic.com/D_NQ_NP_957297-MLB54123249893_032023-O.webp
Caixa de Som Portátil;251,99;Bluetooth portátil com bateria ~10h, resistente a respingos e som de boa potência.;19;https://cdn.awsli.com.br/600x450/1369/1369460/produto/184506932/frente-3-561il82n1q.png
Monitor LG 21.5'';532,9;"Monitor 21.5'' Full HD, HDMI/VGA, 5ms de resposta; em ótimo estado de uso.";17;https://images.tcdn.com.br/img/img_prod/740836/monitor_lg_gamer_21_5_22mp410_b_full_hd_va_hdmi_vga_75hz_5ms_amd_freesync_14087_2_17054b0659a73ee9edb69527fc86ebdc.jpg
